timestamp,ambient_temperature_c,solar_irradiance_wm2,wind_speed_ms,solar_generation_kw,wind_generation_kw,total_renewable_kw,heating_load_kw,critical_load_kw,important_load_kw,operational_load_kw,flexible_load_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,diesel_generation_kw,curtailment_kw,fuel_burned_liters,fuel_remaining_liters,provenance_tier
2025-01-01 00:00:00,-14.9,0.0,8.79,0.0,5.0,5.0,18.91,11.5,5.78,2.45,0.0,38.64,0.0,20.0,0.2682,13.64,0.0,6.48,41993.5,SYNTHETIC
2025-01-01 01:00:00,-15.46,0.0,8.76,0.0,4.95,4.95,19.26,11.5,5.78,2.45,0.0,38.99,0.0,3.28,0.2,30.76,0.0,11.11,41982.4,SYNTHETIC
2025-01-01 02:00:00,-15.12,0.0,9.64,0.0,6.66,6.66,19.05,11.5,5.78,2.45,0.0,38.78,0.0,0.0,0.2,32.12,0.0,11.47,41970.9,SYNTHETIC
2025-01-01 03:00:00,-15.49,0.0,10.25,0.0,8.05,8.05,19.28,11.5,5.78,2.45,0.0,39.01,0.0,0.0,0.2,30.96,0.0,11.16,41959.8,SYNTHETIC
2025-01-01 04:00:00,-15.58,0.0,9.99,0.0,7.44,7.44,19.33,11.5,5.78,2.45,0.0,39.06,0.0,0.0,0.2,31.62,0.0,11.34,41948.4,SYNTHETIC
2025-01-01 05:00:00,-15.72,0.0,10.2,0.0,7.93,7.93,19.42,11.5,5.78,2.45,0.0,39.15,0.0,0.0,0.2,31.22,0.0,11.23,41937.2,SYNTHETIC
2025-01-01 06:00:00,-14.85,0.0,9.41,0.0,6.18,6.18,18.88,11.5,5.78,2.45,0.0,38.61,0.0,0.0,0.2,32.43,0.0,11.56,41925.7,SYNTHETIC
2025-01-01 07:00:00,-14.42,0.0,8.68,0.0,4.81,4.81,18.62,11.5,7.82,4.2,0.0,42.14,0.0,0.0,0.2,37.33,0.0,12.88,41912.8,SYNTHETIC
2025-01-01 08:00:00,-14.15,0.0,9.1,0.0,5.57,5.57,18.45,11.5,7.82,4.2,0.0,41.97,0.0,0.0,0.2,36.4,0.0,12.63,41900.2,SYNTHETIC
2025-01-01 09:00:00,-14.09,0.0,9.75,0.0,6.9,6.9,18.42,11.5,7.82,4.2,0.0,41.94,0.0,0.0,0.2,35.04,0.0,12.26,41887.9,SYNTHETIC
