timestamp,ambient_temperature_c,solar_irradiance_wm2,wind_speed_ms,solar_generation_kw,wind_generation_kw,total_renewable_kw,heating_load_kw,critical_load_kw,important_load_kw,operational_load_kw,flexible_load_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,diesel_generation_kw,curtailment_kw,fuel_burned_liters,fuel_remaining_liters,provenance_tier
2025-01-01 00:00:00,-1.99,11.57,6.48,0.23,2.04,2.27,19.59,30.8,8.24,5.88,0.0,64.52,0.0,30.0,0.2486,32.25,0.0,13.67,94986.3,SYNTHETIC
2025-01-01 01:00:00,-2.06,0.0,7.34,0.0,3.14,3.14,19.67,30.8,8.24,5.88,0.0,64.59,0.0,4.38,0.2,57.08,0.0,21.12,94965.2,SYNTHETIC
2025-01-01 02:00:00,-2.17,0.0,7.73,0.0,3.73,3.73,19.79,30.8,8.24,5.88,0.0,64.72,0.0,0.0,0.2,60.99,0.0,22.3,94942.9,SYNTHETIC
2025-01-01 03:00:00,-1.96,10.27,8.77,0.2,5.62,5.83,19.56,30.8,8.24,5.88,0.0,64.48,0.0,0.0,0.2,58.66,0.0,21.6,94921.3,SYNTHETIC
2025-01-01 04:00:00,-2.27,50.37,9.08,1.0,6.28,7.28,19.9,30.8,8.24,5.88,0.0,64.82,0.0,0.0,0.2,57.55,0.0,21.26,94900.0,SYNTHETIC
2025-01-01 05:00:00,-1.53,85.97,9.53,1.69,7.32,9.01,19.07,30.8,8.24,5.88,0.0,63.99,0.0,0.0,0.2,54.98,0.0,20.5,94879.5,SYNTHETIC
2025-01-01 06:00:00,-1.7,168.23,10.04,3.27,8.63,11.9,19.27,30.8,8.24,5.88,0.0,64.19,0.0,0.0,0.2,52.29,0.0,19.69,94859.9,SYNTHETIC
2025-01-01 07:00:00,-2.06,229.34,10.61,4.44,10.25,14.69,19.67,30.8,11.15,10.08,0.0,71.7,0.0,0.0,0.2,57.01,0.0,21.1,94838.8,SYNTHETIC
2025-01-01 08:00:00,-1.84,307.64,9.28,5.9,6.73,12.63,19.42,30.8,11.15,10.08,0.0,71.45,0.0,0.0,0.2,58.82,0.0,21.65,94817.1,SYNTHETIC
2025-01-01 09:00:00,-2.06,381.26,8.52,7.26,5.12,12.38,19.67,30.8,11.15,10.08,0.0,71.7,0.0,0.0,0.2,59.32,0.0,21.8,94795.3,SYNTHETIC
2025-01-01 10:00:00,-2.71,412.25,9.09,7.84,6.3,14.14,20.4,30.8,11.15,10.08,0.0,72.44,0.0,0.0,0.2,58.29,0.0,21.49,94773.8,SYNTHETIC
2025-01-01 11:00:00,-2.77,421.11,8.02,8.0,4.21,12.21,20.46,30.8,11.15,10.08,0.0,72.5,0.0,0.0,0.2,60.28,0.0,22.09,94751.7,SYNTHETIC
2025-01-01 12:00:00,-3.03,445.87,7.72,8.46,3.71,12.17,20.76,30.8,11.15,10.08,0.0,72.8,0.0,0.0,0.2,60.63,0.0,22.19,94729.6,SYNTHETIC
2025-01-01 13:00:00,-2.64,417.42,7.49,7.93,3.36,11.29,20.32,30.8,11.15,10.08,0.0,72.35,0.0,0.0,0.2,61.07,0.0,22.32,94707.2,SYNTHETIC
2025-01-01 14:00:00,-2.99,405.94,7.96,7.73,4.11,11.84,20.71,30.8,11.15,10.08,0.0,72.75,0.0,0.0,0.2,60.91,0.0,22.27,94685.0,SYNTHETIC
2025-01-01 15:00:00,-2.56,366.52,6.65,7.0,2.24,9.24,20.23,30.8,11.15,10.08,0.0,72.27,0.0,0.0,0.2,62.5,0.0,22.75,94662.2,SYNTHETIC
2025-01-01 16:00:00,-2.96,282.09,6.5,5.45,2.06,7.51,20.68,30.8,11.15,10.08,0.0,72.72,0.0,0.0,0.2,62.5,0.0,22.75,94639.5,SYNTHETIC
2025-01-01 17:00:00,-2.97,228.84,5.9,4.44,1.45,5.89,20.69,30.8,11.15,10.08,0.0,72.72,0.0,0.0,0.2,62.5,0.0,22.75,94616.7,SYNTHETIC
2025-01-01 18:00:00,-2.51,163.13,5.63,3.19,1.21,4.39,20.17,30.8,11.15,10.08,0.0,72.2,0.0,0.0,0.2,62.5,0.0,22.75,94594.0,SYNTHETIC
2025-01-01 19:00:00,-2.41,95.59,7.14,1.88,2.86,4.74,20.06,30.8,11.15,10.08,0.0,72.09,0.0,0.0,0.2,62.5,0.0,22.75,94571.2,SYNTHETIC
2025-01-01 20:00:00,-2.79,60.77,7.92,1.2,4.04,5.24,20.49,30.8,11.15,10.08,0.0,72.52,0.0,0.0,0.2,62.5,0.0,22.75,94548.5,SYNTHETIC
2025-01-01 21:00:00,-2.18,8.42,7.65,0.17,3.6,3.77,19.8,30.8,11.15,10.08,0.0,71.83,0.0,0.0,0.2,62.5,0.0,22.75,94525.7,SYNTHETIC
2025-01-01 22:00:00,-1.97,0.0,7.97,0.0,4.12,4.12,19.57,30.8,8.24,5.88,0.0,64.5,0.0,0.0,0.2,60.37,0.0,22.11,94503.6,SYNTHETIC
2025-01-01 23:00:00,-1.26,0.0,6.31,0.0,1.85,1.85,18.77,30.8,8.24,5.88,0.0,63.69,0.0,0.0,0.2,61.84,0.0,22.55,94481.0,SYNTHETIC
2025-01-02 00:00:00,-1.72,0.83,7.34,0.02,3.14,3.15,19.29,30.8,8.24,5.88,0.0,64.22,0.0,0.0,0.2,61.06,0.0,22.32,94458.7,SYNTHETIC
2025-01-02 01:00:00,-1.92,0.0,7.39,0.0,3.21,3.21,19.51,30.8,8.24,5.88,0.0,64.44,0.0,0.0,0.2,61.22,0.0,22.37,94436.4,SYNTHETIC
2025-01-02 02:00:00,-2.01,0.0,6.7,0.0,2.3,2.3,19.61,30.8,8.24,5.88,0.0,64.53,0.0,0.0,0.2,62.24,0.0,22.67,94413.7,SYNTHETIC
2025-01-02 03:00:00,-1.3,9.63,7.59,0.19,3.51,3.7,18.82,30.8,8.24,5.88,0.0,63.74,0.0,0.0,0.2,60.04,0.0,22.01,94391.7,SYNTHETIC
2025-01-02 04:00:00,-1.54,57.21,7.3,1.13,3.08,4.21,19.09,30.8,8.24,5.88,0.0,64.02,0.0,0.0,0.2,59.81,0.0,21.94,94369.7,SYNTHETIC
2025-01-02 05:00:00,-2.2,101.26,7.3,1.99,3.08,5.07,19.83,30.8,8.24,5.88,0.0,64.75,0.0,0.0,0.2,59.68,0.0,21.91,94347.8,SYNTHETIC
2025-01-02 06:00:00,-1.77,175.71,7.74,3.42,3.75,7.16,19.34,30.8,8.24,5.88,0.0,64.27,0.0,0.0,0.2,57.1,0.0,21.13,94326.7,SYNTHETIC
2025-01-02 07:00:00,-1.78,259.23,9.18,5.0,6.5,11.5,19.35,30.8,11.15,10.08,0.0,71.38,0.0,0.0,0.2,59.88,0.0,21.96,94304.7,SYNTHETIC
